Word,Definition
harangue,1.(n.) a ranting speech; 2(v.)to give such a speech

hardy,"(adj.) robust, capable of surviving through adverse conditions"

harrowing,"(adj.) greatly distressing, vexing"

haughty,(adj.) disdainfully proud

hedonist,(n.) one who believes pleasure should be the primary pursuit of humans

hegemony,(n.) domination over others

heinous,"(adj.) shockingly wicked, repugnant"

heterogeneous,"(adj.) varied, diverse in character"

hiatus,(n.) a break or gap in duration or continuity

hierarchy,"(n.) a system with ranked groups, usually according to social, economic, or professional class"

hypocrisy,(n.) pretending to believe what one does not

hypothetical,"(adj.) supposed or assumed true, but unproven(Even though it has been celebrated by seven major newspapers"

iconoclast,(n.) one who attacks common beliefs or institutions

idiosyncratic,(adj.) peculiar to one person; highly individualized

idolatrous,(adj.) excessively worshipping one object or person

ignominious,"(adj.) humiliating, disgracing"

illicit,"(adj.) forbidden, not permitted"

immerse,"(v.) to absorb, deeply involve, engross"

immutable,(adj.) not changeable

impassive,"(adj.) stoic, not susceptible to suffering"

impeccable,"(adj.) exemplary, flawless"

impecunious,"(adj.) poor(""""I fear he''s too impecunious to take me out tonight"

imperative,"1.(adj.) necessary, pressing; 2(n.)a rule, command, or order"

imperious,"(adj.) commanding, domineering"

impertinent,"(adj.) rude, insolent"

impervious,"(adj.) impenetrable, incapable of being affected"

impetuous,(adj.) rash; hastily done

impinge,"1.(v.) to impact, affect, make an impression; 2(v.)to encroach, infringe"

implacable,(adj.) incapable of being appeased or mitigated

implement,"1.(n.) an instrument, utensil, tool; 2(v.)to put into effect, to institute"

implicate,"(v.) to involve in an incriminating way, incriminate(Even though Tom wasn''t present at the time of the shooting"

implicit,"(adj.) understood but not outwardly obvious, implied"

impregnable,(adj.) resistant to capture or penetration

impudent,"(adj.) casually rude, insolent, impertinent"

impute,"(v.) to ascribe, blame"

inane,(adj.) silly and meaningless

inarticulate,(adj.) incapable of expressing oneself clearly through speech

incarnate,"1.(adj.) existing in the flesh, embodied; 2(v.)to give human form to"

incendiary,"1.(n.) a person who agitates; 2(adj.)inflammatory, causing combustion"

incessant,(adj.) unending

inchoate,"(adj.) unformed or formless, in a beginning stage"

incisive,"(adj.) clear, sharp, direct"

inclination,"(n.) a tendency, propensity"

incontrovertible,(adj.) indisputable

incorrigible,"(adj.) incapable of correction, delinquent"

increment,(n.) an enlargement; the process of increasing (The workmen made the wall longer

incumbent,1.(n.) one who holds an office; 2(adj.)obligatory

indefatigable,"(adj.) incapable of defeat, failure, decay(Even after traveling 62 miles"

indigenous,(adj.) originating in a region

indigent,"(adj.) very poor, impoverished"

indignation,(n.) anger sparked by something unjust or unfair

indolent,(adj.) lazy

indomitable,(adj.) not capable of being conquered

induce,"(v.) to bring about, stimulate"

ineffable,"(adj.) unspeakable, incapable of being expressed through words"

inept,"(adj.) not suitable or capable, unqualified"

inexorable,(adj.) incapable of being persuaded or placated(Although I begged for hours

inextricable,(adj.) hopelessly tangled or entangled

infamy,"(n.) notoriety, extreme ill repute"

infusion,(n.) an injection of one substance into another; the permeation of one substance by another

ingenious,"(adj.) clever, resourceful"

ingenuous,(adj.) not devious; innocent and candid

inhibit,"(v.) to prevent, restrain, stop"

inimical,"(adj.) hostile, enemylike"

iniquity,"(n.) wickedness or sin(""""Your iniquity"

injunction,(n.) an order of official warning

innate,"(adj.) inborn, native, inherent"

innocuous,"(adj.) harmless, inoffensive"

innovate,(v.) to do something in an unprecedented way

innuendo,(n.) an insinuation

inoculate,"(v.) to introduce a microorganism, serum, or vaccine into an organism in order to increase immunity to illness; to vaccinate"

inquisitor,"(n.) one who inquires, especially in a hostile manner"

insatiable,(adj.) incapable of being satisfied

insidious,"(adj.) appealing but imperceptibly harmful, seductive"

insinuate,(v.) to suggest indirectly or subtly

insipid,"(adj.) dull, boring"

insolent,"(adj.) rude, arrogant, overbearing"

instigate,"(v.) to urge, goad"

insular,"(adj.) separated and narrow-minded; tight-knit, closed off"

insurgent,(n.) one who rebels

integral,(adj.) necessary for completeness

interject,(v.) to insert between other things

interlocutor,(n.) someone who participates in a dialogue or conversation

interminable,(adj.) without possibility of end

intimation,(n.) an indirect suggestion

intractable,"(adj.) difficult to manipulate, unmanageable"

intransigent,"(adj.) refusing to compromise, often on an extreme opinion"

intrepid,(adj.) brave in the face of danger

inundate,(v.) to flood with abundance

inure,(v.) to cause someone or something to become accustomed to a situation

invective,(n.) an angry verbal attack

inveterate,(adj.) stubbornly established by habit

inviolable,(adj.) secure from assault

irascible,(adj.) easily angered

iridescent,(adj.) showing rainbow colors

irreverence,(n.) disrespect

irrevocable,(adj.) incapable of being taken back

jubilant,"(adj.) extremely joyful, happy"

judicious,(adj.) having or exercising sound judgment

juxtaposition,(n.) the act of placing two things next to each other for implicit comparison

knell,"(n.) the solemn sound of a bell, often indicating a death(Echoing throughout our village"

kudos,(n.) praise for an achievement

laceration,"(n.) a cut, tear"

laconic,(adj.) terse in speech or writing

languid,(adj.) sluggish from fatigue or weakness

larceny,(n.) obtaining another''s property by theft or trickery

largess,(n.) the generous giving of lavish gifts

latent,"(adj.) hidden, but capable of being exposed"

laudatory,(adj.) expressing admiration or praise

lavish,1.(adj.) given without limits; 2(v.)to give without limits

legerdemain,"(n.) deception, slight-of-hand"

lenient,(adj.) demonstrating tolerance or gentleness

lethargic,(adj.) in a state of sluggishness or apathy

liability,"1.(n.) something for which one is legally responsible, usually involving a disadvantage or risk; 2(n.)a handicap, burden"

libertarian,(adj.) advocating principles of liberty and free will

licentious,(adj.) displaying a lack of moral or legal restraints

limpid,"(adj.) clear, transparent"

linchpin,(n.) something that holds separate parts together

lithe,"(adj.) graceful, flexible, supple(Although the dancers were all outstanding"

litigant,(n.) someone engaged in a lawsuit

lucid,"(adj.) clear, easily understandable"

luminous,(adj.) brightly shining

lurid,"(adj.) ghastly, sensational"

maelstrom,(n.) a destructive whirlpool which rapidly sucks in objects

magnanimous,"(adj.) noble, generous(Although I had already broken most of her dishes"

malediction,(n.) a curse

malevolent,(adj.) wanting harm to befall others

malleable,(adj.) capable of being shaped or transformed

mandate,(n.) an authoritative command

manifest,"1.(adj.) easily understandable, obvious; 2(v.)to show plainly"

manifold,"(adj.) diverse, varied"

maudlin,(adj.) weakly sentimental(Although many people enjoy romantic comedies

maverick,"(n.) an independent, nonconformist person"

mawkish,(adj.) characterized by sick sentimentality(Although some nineteenth- century critics viewed Dickens''s writing as mawkish

maxim,(n.) a common saying expressing a principle of conduct

meager,(adj.) deficient in size or quality

medley,(n.) a mixture of differing things

mendacious,"(adj.) having a lying, false character"

mercurial,(adj.) characterized by rapid change or temperamentality

meritorious,(adj.) worthy of esteem or reward

metamorphosis,"(n.) the change of form, shape, substance"

meticulous,(adj.) extremely careful with details

mitigate,"(v.) to make less violent, alleviate"

moderate,1.(adj.) not extreme; 2(n.)one who expresses moderate opinions

modicum,(n.) a small amount of something

modulate,"(v.) to pass from one state to another, especially in music"

mollify,(v.) to soften in temper

morass,"(n.) a wet swampy bog; figuratively, something that traps and confuses"

mores,(n.) the moral attitudes and fixed customs of a group of people. (Mores change over time; many things that were tolerated in 1975 are no longer seen as being socially acceptable.)

morose,(adj.) gloomy or sullen

multifarious,(adj.) having great diversity or variety

mundane,"(adj.) concerned with the world rather than with heaven, commonplace"

munificence,(n.) generosity in giving

mutable,(adj.) able to change

myriad,(adj.) consisting of a very great number

nadir,(n.) the lowest point of something

nascent,(adj.) in the process of being born or coming into existence

nebulous,"(adj.) vaguely defined, cloudy"

nefarious,(adj.) heinously villainous(Although Dr. Meanman''s nefarious plot to melt the polar icecaps was terrifying

negligent,"(adj.) habitually careless, neglectful"

neophyte,(n.) someone who is young or inexperienced

nocturnal,(adj.) relating to or occurring during the night

noisome,"(adj.) unpleasant, offensive, especially to the sense of smell"

nomadic,(adj.) wandering from place to place

nominal,"(adj.) trifling, insignificant"

nonchalant,"(adj.) having a lack of concern, indifference(Although deep down she was very angry"

nondescript,(adj.) lacking a distinctive character

notorious,(adj.) widely and unfavorably known

novice,"(n.) a beginner, someone without training or experience"

noxious,"(adj.) harmful, unwholesome(Environmentalists showed that the noxious weeds were destroying the insects'' natural habitats.)"

nuance,"(n.) a slight variation in meaning, tone, expression"

nurture,(v.) to assist the development of(Although Serena had never watered the plant

obdurate,(adj.) unyielding to persuasion or moral influences

obfuscate,(v.) to render incomprehensible

oblique,"(adj.) diverging from a straight line or course, not straightforward"

oblivious,(adj.) lacking consciousness or awareness of something

obscure,"(adj.) unclear, partially hidden"

obsequious,(adj.) excessively compliant or submissive

obsolete,"(adj.) no longer used, out of date"

obstinate,"(adj.) not yielding easily, stubborn"

obstreperous,"(adj.) noisy, unruly"

obtuse,(adj.) lacking quickness of sensibility or intellect

odious,(adj.) instilling hatred or intense displeasure

officious,(adj.) offering one''s services when they are neither wanted nor needed

ominous,(adj.) foreboding or foreshadowing evil

onerous,(adj.) burdensome

opulent,(adj.) characterized by rich abundance verging on ostentation

oration,(n.) a speech delivered in a formal or ceremonious manner

ornate,"(adj.) highly elaborate, excessively decorated"

orthodox,"(adj.) conventional, conforming to established protocol"

oscillate,(v.) to sway from one side to the other

ostensible,"(adj.) appearing as such, seemingly"

ostentatious,"(adj.) excessively showy, glitzy"

ostracism,(n.) exclusion from a group

pacific,(adj.) soothing

palatable,(adj.) agreeable to the taste or sensibilities

palette,(adj.) a range of colors or qualities

palliate,(v.) to reduce the severity of

pallid,(adj.) lacking color

panacea,(n.) a remedy for all ills or difficulties

paradigm,(n.) an example that is a perfect pattern or model

paradox,(n.) an apparently contradictory statement that is perhaps true

paragon,(n.) a model of excellence or perfection

paramount,"(adj.) greatest in importance, rank, character"

pariah,(n.) an outcast

parody,(n.) a satirical imitation(A hush fell over the classroom when the teacher returned to find Deborah acting out a parody of his teaching style.)

parsimony,"(n.) frugality, stinginess"

partisan,"(n.) a follower, adherent"

patent,"(adj.) readily seen or understood, clear"

pathology,(n.) a deviation from the normal

pathos,(n.) an emotion of sympathy

paucity,(adj.) small in quantity

pejorative,"(adj.) derogatory, uncomplimentary"

pellucid,"(adj.) easily intelligible, clear"

penchant,"(n.) a tendency, partiality, preference"

penitent,"(adj.) remorseful, regretful"

penultimate,(adj.) next to last

penurious,"(adj.) miserly, stingy"

perfidious,"(adj.) disloyal, unfaithful"

perfunctory,(adj.) showing little interest or enthusiasm

permeate,"(v.) to spread throughout, saturate"

pernicious,(adj.) extremely destructive or harmful

perplex,(v.) to confuse

perspicacity,"(adj.) shrewdness, perceptiveness"

pert,"(adj.) flippant, bold"

pertinacious,(adj.) stubbornly persistent

perusal,"(n.) a careful examination, review"

pervasive,(adj.) having the tendency to spread throughout

petulance,"(n.) rudeness, irritability"

philanthropic,"(adj.) charitable, giving"

phlegmatic,"(adj.) uninterested, unresponsive"

pillage,"(v.) to seize or plunder, especially in war"

pinnacle,(n.) the highest point

pithy,(adj.) concisely meaningful

pittance,"(n.) a very small amount, especially relating to money"

placate,"(v.) to ease the anger of, soothe"

placid,"(adj.) calm, peaceful"

platitude,"(n.) an uninspired remark, cliché"

plaudits,"(n.) enthusiastic approval, applause"

plausible,"(adj.) believable, reasonable"

plenitude,(n.) an abundance

plethora,"(n.) an abundance, excess"

pliable,(adj.) flexible

poignant,"(adj.) deeply affecting, moving"

polemic,(n.) an aggressive argument against a specific opinion

portent,(n.) an omen

potable,(adj.) suitable for drinking

potentate,"(n.) one who has great power, a ruler(All the villagers stood along the town''s main road to observe as the potentate''s procession headed towards the capital.)"

pragmatic,(adj.) practical

precipice,"(n.) the face of a cliff, a steep or overhanging place"

preclude,(v.) to prevent

precocious,"(adj.) advanced, developing ahead of time"

predilection,(n.) a preference or inclination for something

preponderance,(adj.) superiority in importance or quantity

prepossessing,(adj.) occupying the mind to the exclusion of other thoughts or feelings

presage,(n.) an omen

prescient,(adj.) to have foreknowledge of events

prescribe,(v.) to lay down a rule

presumptuous,(adj.) disrespectfully bold

pretense,(n.)an appearance or action intended to deceive

primeval,"(adj.) original, ancient"

privation,(n.) lacking basic necessities

probity,"(n.) virtue, integrity"

proclivity,(n.) a strong inclination toward something

procure,"(v.) to obtain, acquire"

profane,"(adj.) lewd, indecent"

profligate,"(adj.) dissolute, extravagant"

profuse,"(adj.) plentiful, abundant"

promulgate,"(v.) to proclaim, make known"

propagate,"(v.) to multiply, spread out"

propensity,"(n.) an inclination, preference"

propitious,(adj.) favorable

propriety,"(n.) the quality or state of being proper, decent(Erma''s old-fashioned parents believed that her mini-skirt lacked the propriety expected of a """"nice"""" girl.)"

prosaic,"(adj.) plain, lacking liveliness"

proscribe,"(v.) to condemn, outlaw"

protean,(adj.)able to change shape; displaying great variety

prowess,(n.) extraordinary ability

prudence,"(n.) cautious, circumspect"

prurient,(adj.) eliciting or possessing an extraordinary interest in sex

puerile,"(adj.) juvenile, immature"

pugnacious,"(adj.) quarrelsome, combative(Aaron''s pugnacious nature led him to start several barroom brawls each month.)"

pulchritude,(n.) physical beauty

punctilious,(adj.) eager to follow rules or conventions

pungent,"(adj.) having a pointed, sharp quality, often used to describe smells"

punitive,(adj.) involving punishment

putrid,"(adj.) rotten, foul"

quagmire,(n.) a difficult situation

quaint,(adj.) charmingly old-fashioned

quandary,"(n.) a perplexed, unresolvable state"

quell,(v.) to control or diffuse a potentially explosive situation

querulous,"(adj.) whiny, complaining"

quixotic,"(adj.) idealistic, impractical(Edward entertained a quixotic desire to fall in love at first sight in a laundromat.)"

quotidian,(adj.) daily

rail,"(v.) to scold, protest"

rancid,(adj.) having a terrible taste or smell

rancor,"(n.) deep, bitter resentment"

rapport,(n.) mutual understanding and harmony

rash,"(adj.) hasty, incautious"

raucous,"(adj.) loud, boisterous"

raze,"(v.) to demolish, level"

rebuke,"(v.) to scold, criticize"

recalcitrant,"(adj.) defiant, unapologetic(Even when scolded"

recapitulate,"(v.) to sum up, repeat"

reciprocate,(v.) to give in return

reclusive,"(adj.) solitary, shunning society"

reconcile,1.(v.) to return to harmony; 2(v.)to make consistent with existing ideas(Alou had to reconcile his skepticism about the existence of aliens with the fact that he was looking at a flying saucer.)

rectitude,"(n.) uprightness, extreme morality"

redoubtable,1.(adj.) formidable; 2(adj.)commanding respect

refract,"(v.) to distort, change"

refurbish,"(v.) to restore, clean up"

refute,(v.) to prove wrong

regurgitate,1.(v.) to vomit; 2(v.)to throw back exactly

relegate,1.(v.) to assign to the proper place; 2(v.)to assign to an inferior place

relish,(v.) to enjoy

remedial,(adj.) intended to repair gaps in students'' basic knowledge

remiss,"(adj.) negligent, failing to take care"

renovate,"1.(v.) restore, return to original state; 2(v.)to enlarge and make prettier, especially a house"

renown,"(n.) honor, acclaim"

renunciation,(n.) to reject

repentant,"(adj.) penitent, sorry"

replete,"(adj.) full, abundant"

repose,"(v.) to rest, lie down"

reprehensible,(adj.) deserving rebuke

reprieve,(n.) a temporary delay of punishment

reproach,"(v.) to scold, disapprove"

reprobate,"(adj.) evil, unprincipled"

reprove,"(v.) to scold, rebuke"

repudiate,"(v.) to reject, refuse to accept"

repulse,1.(v.) to disgust; 2(v.)to push back

reputable,(adj.) of good reputation

requisition,"(n.) a demand for goods, usually made by an authority"

rescind,"(v.) to take back, repeal"

reservoir,"1.(n.) reserves, large supply; 2(n.)a body of water used for storing water"

resilient,(adj.) able to recover from misfortune; able to withstand adversity

resolute,"(adj.) firm, determined"

resolve,1.(v.) to find a solution; 2(v.)to firmly decide

respite,"(n.) a break, rest"

resplendent,"(adj.) shiny, glowing"

restitution,(n.) restoration to the rightful owner

restive,"(adj.) resistant, stubborn, impatient"

retract,(v.) withdraw

revel,(v.) to enjoy intensely

revere,"(v.) to esteem, show deference, venerate"

revoke,(v.) to take back

rhapsodize,(v.) to engage in excessive enthusiasm

ribald,"(adj.) coarsely, crudely humorous"

rife,(adj.) abundant

ruminate,"(v.) to contemplate, reflect"

ruse,(n.) a trick

saccharine,(adj.) sickeningly sweet

sacrosanct,"(adj.) holy, something that should not be criticized"

sagacity,"(n.) shrewdness, soundness of perspective"

salient,"(adj.) significant, conspicuous"

salutation,(n.) a greeting

salve,(n.) a soothing balm

sanctimonious,(adj.) giving a hypocritical appearance of piety

sanguine,"(adj.) optimistic, cheery"

satiate,(v.) to satisfy excessively

scathing,"(adj.) sharp, critical, hurtful"

scintillating,(adj.) sparkling

scrupulous,"(adj.) painstaking, careful"

scurrilous,"(adj.) vulgar, coarse"

sedentary,"(adj.) sitting, settled"

semaphore,(n.) a visual signal

seminal,"(adj.) original, important, creating a field"

sensual,"(adj.) involving sensory gratification, usually related to sex"

sensuous,(adj.) involving sensory gratification

serendipity,"(n.) luck, finding good things without looking for them"

serene,"(adj.) calm, untroubled"

servile,(adj.) subservient

sinuous,"(adj.) lithe, serpentine"

sobriety,"(n.) sedate, calm"

solicitous,"(adj.) concerned, attentive"

solipsistic,(adj.) believing that oneself is all that exists

soluble,(adj.) able to dissolve

solvent,1.(n.) a substance that can dissolve other substance; 2(adj.)able to pay debts

somnolent,"(adj.) sleepy, drowsy"

sophomoric,"(adj.) immature, uninformed"

sovereign,(adj.) having absolute authority in a certain realm

speculative,(adj.) not based in fact

spurious,(adj.) false but designed to seem plausible

stagnate,"(v.) to become or remain inactive, not develop, not flow"

staid,"(adj.) sedate, serious, self-restrained"

stingy,"(adj.) not generous, not inclined to spend or give"

stoic,(adj.) unaffected by passion or feeling

stolid,"(adj.) expressing little sensibility, unemotional"

strenuous,(adj.) requiring tremendous energy or stamina

strident,"(adj.) harsh, loud(A strident man"

stupefy,"(v.) to astonish, make insensible"

subjugate,"(v.) to bring under control, subdue"

sublime,"(adj.) lofty, grand, exalted"

submissive,(adj.) easily yielding to authority

succinct,(adj.) marked by compact precision

superfluous,(adj.) exceeding what is necessary

surfeit,(n.) an overabundant supply or indulgence

surmise,(v.) to infer with little evidence

surreptitious,(adj.) stealthy

surrogate,(n.) one acting in place of another

swarthy,(adj.) of dark color or complexion

sycophant,(n.) one who flatters for self-gain

tacit,(adj.) expressed without words

taciturn,(adj.) not inclined to talk

tangential,"(adj.) incidental, peripheral, divergent"

tantamount,(adj.) equivalent in value or significance

tedious,"(adj.) dull, boring"

temerity,"(n.) audacity, recklessness"

temperance,(n.) moderation in action or thought

tenable,(adj.) able to be defended or maintained

tenuous,(adj.) having little substance or strength

terrestrial,(adj.) relating to the land(Elephants are terrestrial animals.)

timorous,"(adj.) timid, fearful"

tirade,(n.) a long speech marked by harsh or biting language(Every time Jessica was late

toady,(n.) one who flatters in the hope of gaining favors

tome,(n.) a large book

torpid,"(adj.) lethargic, dormant, lacking motion"

torrid,"(adj.) giving off intense heat, passionate"

tortuous,(adj.) winding

tractable,(adj.) easily controlled

tranquil,(adj.) calm

transgress,"(v.) to violate, go over a limit"

transient,(adj.) passing through briefly; passing into and out of existence

transmute,(v.) to change or alter in form

travesty,(n.) a grossly inferior imitation

tremulous,(adj.) fearful

trenchant,"(adj.) effective, articulate, clear-cut"

trepidation,"(n.) fear, apprehension"

trite,"(adj.) not original, overused"

truculent,"(adj.) ready to fight, cruel"

truncate,(v.) to shorten by cutting off

turgid,"(adj.) swollen, excessively embellished in style or language"

turpitude,"(n.) depravity, moral corruption"

ubiquitous,"(adj.) existing everywhere, widespread"

umbrage,"(n.) resentment, offense"

uncanny,(adj.) of supernatural character or origin

unctuous,"(adj.) smooth or greasy in texture, appearance, manner"

undulate,(v.) to move in waves

upbraid,(v.) to criticize or scold severely

usurp,"(v.) to seize by force, take possession of without right"

utilitarian,(adj.) relating to or aiming at usefulness

utopia,(n.) an imaginary and remote place of perfection(Everyone in the world wants to live in a utopia

vacillate,"(v.) to fluctuate, hesitate"

vacuous,"(adj.) lack of content or ideas, stupid"

validate,"(v.) to confirm, support, corroborate"

vapid,"(adj.) lacking liveliness, dull"

variegated,"(adj.) diversified, distinctly marked(Each wire in the engineering exam was variegated by color so that the students could figure out which one was which.)"

vehemently,(adv.) marked by intense force or emotion

veneer,"(n.) a superficial or deceptively attractive appearance, façade"

venerable,(adj.) deserving of respect because of age or achievement

venerate,(v.) to regard with respect or to honor

veracity,"(n.) truthfulness, accuracy"

verbose,"(adj.) wordy, impaired by wordiness"

verdant,(adj.) green in tint or color

vestige,(n.) a mark or trace of something lost or vanished

vex,(v.) to confuse or annoy

vicarious,(adj.) experiencing through another(All of my lame friends learned to be social through vicarious involvement in my amazing experiences.)

vicissitude,(n.) event that occurs by chance

vigilant,"(adj.) watchful, alert"

vilify,"(v.) to lower in importance, defame"

vindicate,(v.) to avenge; to free from allegation; to set free

vindictive,(adj.) vengeful

virtuoso,(n.) one who excels in an art; a highly skilled musical performer(Even though Lydia has studied piano for many years

viscous,"(adj.) not free flowing, syrupy"

vitriolic,(adj.) having a caustic quality

vituperate,(v.) to berate

vivacious,"(adj.) lively, sprightly"

vocation,"(n.) the work in which someone is employed, profession"

vociferous,"(adj.) loud, boisterous"

wallow,(v.) to roll oneself indolently; to become or remain helpless

wane,"(v.) to decrease in size, dwindle"

wanton,"(adj.) undisciplined, lewd, lustful"

whimsical,"(adj.) fanciful, full of whims"

wily,"(adj.) crafty, sly"

winsome,"(adj.) charming, pleasing"

wistful,(adj.) full of yearning; musingly sad

wizened,"(adj.) dry, shrunken, wrinkled"

wrath,"(n.) vengeful anger, punishment"

yoke,"(v.) to join, link"

zealous,"(adj.) fervent, filled with eagerness in pursuit of something"

zenith,"(n.) the highest point, culminating point"

zephyr,(n.) a gentle breeze
